"state","date","cases","deaths","cases_weekly_change","new_cases","deaths_weekly_change","new_deaths"
"Northern Mariana Islands","2020-12-24","118","2","0.044247746","5.0","0.0","0.0"
"Ohio","2020-12-24","653650","8456","0.09640074","57472.0","0.07119334","562.0"
"Oklahoma","2020-12-24","272553","2328","0.09810078","24349.0","0.08582091","184.0"
"Oregon","2020-12-24","106822","1417","0.07969713","7885.0","0.1035825","133.0"
"Pennsylvania","2020-12-24","596122","14759","0.113765836","60891.0","0.097976446","1317.0"
"Puerto Rico","2020-12-24","104423","1423","0.061576128","6057.0","0.07558584","100.0"
"Rhode Island","2020-12-24","82066","1704","0.061793208","4776.0","0.0636704","102.0"
"South Carolina","2020-12-24","285028","5043","0.08468878","22254.0","0.04129672","200.0"
"South Dakota","2020-12-24","96546","1430","0.035934687","3349.0","0.09915447","129.0"
"Tennessee","2020-12-24","532375","6367","0.108594894","52150.0","0.100985646","584.0"
"Texas","2020-12-24","1659551","26879","0.06975806","108218.0","0.060901523","1543.0"
"Utah","2020-12-24","260589","1205","0.06834674","16671.0","0.07015991","79.0"
"Vermont","2020-12-24","6781","120","0.10278094","632.0","0.1428572","15.0"
"Virgin Islands","2020-12-24","1967","23","0.04739082","89.0","0.0","0.0"
"Virginia","2020-12-24","323915","4791","0.09396374","27822.0","0.052273273","238.0"
"Washington","2020-12-24","237269","3268","0.075425625","16641.0","0.030914783","98.0"
"West Virginia","2020-12-24","77239","1228","0.12782359","8754.0","0.14659202","157.0"
"Wisconsin","2020-12-24","503706","5022","0.04407358","21263.0","0.099868536","456.0"
"Wyoming","2020-12-24","42664","373","0.051018596","2071.0","0.0626781","22.0"
"Alabama","2020-12-25","342426","4680","0.08471477","26743.0","0.08938551","384.0"
"Alaska","2020-12-25","44876","191","0.040434003","1744.0","0.08522725","15.0"
"Arizona","2020-12-25","486993","8409","0.096737266","42955.0","0.075457215","590.0"
"Arkansas","2020-12-25","213267","3438","0.080265045","15846.0","0.09525323","299.0"
"California","2020-12-25","2064763","23964","0.14095914","255090.0","0.065256","1468.0"
"Colorado","2020-12-25","323329","4631","0.057937622","17707.0","0.07124686","308.0"
"Connecticut","2020-12-25","172743","5791","0.061192274","9961.0","0.037627697","210.0"
"Delaware","2020-12-25","53653","891","0.09252882","4544.0","0.043325543","37.0"
"District of Columbia","2020-12-25","27436","756","0.051026702","1332.0","0.038461566","28.0"
"Florida","2020-12-25","1247538","20994","0.055915713","66063.0","0.029117703","594.0"
"Georgia","2020-12-25","603246","10303","0.083776","46631.0","0.029373527","294.0"
"Guam","2020-12-25","8237","122","0.00918889","75.0","0.01666665","2.0"
"Hawaii","2020-12-25","20861","283","0.04634595","924.0","0.014336944","4.0"
"Idaho","2020-12-25","135383","1353","0.05358064","6885.0","0.057031274","73.0"
"Illinois","2020-12-25","932427","17155","0.049465537","43949.0","0.058558583","949.0"
"Indiana","2020-12-25","491125","7770","0.07696235","35097.0","0.06951141","505.0"
"Iowa","2020-12-25","274266","3744","0.036025524","9537.0","0.08490288","293.0"
"Kansas","2020-12-25","213076","2507","0.046305895","9430.0","0.07090986","166.0"
"Kentucky","2020-12-25","253824","2782","0.05608189","13479.0","0.06264329","164.0"
"Louisiana","2020-12-25","296499","7272","0.049799204","14065.0","0.03974831","278.0"
"Maine","2020-12-25","21547","319","0.17505586","3210.0","0.13523138","38.0"
"Maryland","2020-12-25","263326","5659","0.06689191","16510.0","0.056177735","301.0"
"Massachusetts","2020-12-25","341925","11963","0.08573127","26999.0","0.030404806","353.0"
"Michigan","2020-12-25","507687","12406","0.03423643","16806.0","0.045948863","545.0"
"Minnesota","2020-12-25","404462","5109","0.031927705","12514.0","0.06838143","327.0"
"Mississippi","2020-12-25","204178","4562","0.07230151","13767.0","0.04777217","208.0"
"Missouri","2020-12-25","400714","5633","0.04849279","18533.0","0.089555144","463.0"
"Montana","2020-12-25","79066","918","0.039576054","3010.0","0.073684216","63.0"
"Nebraska","2020-12-25","161960","1594","0.039778113","6196.0","0.062666655","94.0"
"Nevada","2020-12-25","214077","2943","0.070213795","14045.0","0.07881236","215.0"
"New Hampshire","2020-12-25","38902","690","0.112757444","3942.0","0.0815047","52.0"
"New Jersey","2020-12-25","456847","18595","0.07459533","31713.0","0.025987625","471.0"
"New Mexico","2020-12-25","136622","2309","0.071545124","9122.0","0.085056424","181.0"
"New York","2020-12-25","909123","36739","0.09265256","77090.0","0.026946187","964.0"
"North Carolina","2020-12-25","498005","6420","0.06367004","29810.0","0.040181518","248.0"
"North Dakota","2020-12-25","91229","1271","0.018601418","1666.0","0.03249395","40.0"
"Northern Mariana Islands","2020-12-25","118","2","0.026086926","3.0","0.0","0.0"
"Ohio","2020-12-25","653650","8456","0.07887602","47788.0","0.06137824","489.0"
"Oklahoma","2020-12-25","272553","2328","0.08259058","20793.0","0.07727909","167.0"
"Oregon","2020-12-25","107833","1431","0.07500827","7524.0","0.095712066","125.0"
"Pennsylvania","2020-12-25","602605","14892","0.10688126","58188.0","0.08987117","1228.0"
"Puerto Rico","2020-12-25","105039","1432","0.053054214","5292.0","0.07426858","99.0"
"Rhode Island","2020-12-25","82066","1704","0.054670215","4254.0","0.048615336","79.0"
"South Carolina","2020-12-25","285028","5043","0.06721687","17952.0","0.035098553","171.0"
"South Dakota","2020-12-25","96546","1430","0.029582381","2774.0","0.07518792","100.0"
"Tennessee","2020-12-25","541267","6367","0.10394168","50963.0","0.07970154","470.0"
"Texas","2020-12-25","1661619","27042","0.05789852","90940.0","0.055998087","1434.0"
"Utah","2020-12-25","260589","1205","0.05689037","14027.0","0.057017565","65.0"
"Vermont","2020-12-25","6781","120","0.086176515","538.0","0.121495366","13.0"
"Virgin Islands","2020-12-25","1979","23","0.04157889","79.0","0.0","0.0"
"Virginia","2020-12-25","327993","4820","0.095544934","28605.0","0.048281908","222.0"
"Washington","2020-12-25","237689","3268","0.058305264","13095.0","0.031565666","100.0"
"West Virginia","2020-12-25","78836","1247","0.13024902","9085.0","0.14298809","156.0"
"Wisconsin","2020-12-25","505345","5028","0.03902638","18981.0","0.084789634","393.0"
"Wyoming","2020-12-25","42664","373","0.03155303","1305.0","0.0626781","22.0"
"Alabama","2020-12-26","343458","4685","0.07362831","23554.0","0.067441344","296.0"
