"state","date","cases","deaths","cases_weekly_change","deaths_weekly_change"
"Massachusetts","2020-12-24","341925","11963","0.10566962","0.035040617"
"Michigan","2020-12-24","507545","12406","0.043526053","0.05198002"
"Minnesota","2020-12-24","404462","5109","0.039133668","0.08310366"
"Mississippi","2020-12-24","202651","4556","0.078481555","0.054629683"
"Missouri","2020-12-24","399528","5627","0.056913257","0.10311699"
"Montana","2020-12-24","79066","918","0.04660797","0.081272125"
"Nebraska","2020-12-24","161338","1601","0.04476607","0.080296874"
"Nevada","2020-12-24","212662","2926","0.07917929","0.091791034"
"New Hampshire","2020-12-24","38902","690","0.13536072","0.09697938"
"New Jersey","2020-12-24","451787","18544","0.072521925","0.025663733"
"New Mexico","2020-12-24","135166","2272","0.07236302","0.080361366"
"New York","2020-12-24","896242","36604","0.09374237","0.026846528"
"North Carolina","2020-12-24","498005","6420","0.08559549","0.049019575"
"North Dakota","2020-12-24","90955","1267","0.02117455","0.047107458"
"Northern Mariana Islands","2020-12-24","118","2","0.044247746","0.0"
"Ohio","2020-12-24","653650","8456","0.09640074","0.07119334"
"Oklahoma","2020-12-24","272553","2328","0.09810078","0.08582091"
"Oregon","2020-12-24","106822","1417","0.07969713","0.1035825"
"Pennsylvania","2020-12-24","596122","14759","0.113765836","0.097976446"
"Puerto Rico","2020-12-24","104423","1423","0.061576128","0.07558584"
"Rhode Island","2020-12-24","82066","1704","0.061793208","0.0636704"
"South Carolina","2020-12-24","285028","5043","0.08468878","0.04129672"
"South Dakota","2020-12-24","96546","1430","0.035934687","0.09915447"
"Tennessee","2020-12-24","532375","6367","0.108594894","0.100985646"
"Texas","2020-12-24","1659551","26879","0.06975806","0.060901523"
"Utah","2020-12-24","260589","1205","0.06834674","0.07015991"
"Vermont","2020-12-24","6781","120","0.10278094","0.1428572"
"Virgin Islands","2020-12-24","1967","23","0.04739082","0.0"
"Virginia","2020-12-24","323915","4791","0.09396374","0.052273273"
"Washington","2020-12-24","237269","3268","0.075425625","0.030914783"
"West Virginia","2020-12-24","77239","1228","0.12782359","0.14659202"
"Wisconsin","2020-12-24","503706","5022","0.04407358","0.099868536"
"Wyoming","2020-12-24","42664","373","0.051018596","0.0626781"
"Alabama","2020-12-25","342426","4680","0.08471477","0.08938551"
"Alaska","2020-12-25","44876","191","0.040434003","0.08522725"
"Arizona","2020-12-25","486993","8409","0.096737266","0.075457215"
"Arkansas","2020-12-25","213267","3438","0.080265045","0.09525323"
"California","2020-12-25","2064763","23964","0.14095914","0.065256"
"Colorado","2020-12-25","323329","4631","0.057937622","0.07124686"
"Connecticut","2020-12-25","172743","5791","0.061192274","0.037627697"
"Delaware","2020-12-25","53653","891","0.09252882","0.043325543"
"District of Columbia","2020-12-25","27436","756","0.051026702","0.038461566"
"Florida","2020-12-25","1247538","20994","0.055915713","0.029117703"
"Georgia","2020-12-25","603246","10303","0.083776","0.029373527"
"Guam","2020-12-25","8237","122","0.00918889","0.01666665"
"Hawaii","2020-12-25","20861","283","0.04634595","0.014336944"
"Idaho","2020-12-25","135383","1353","0.05358064","0.057031274"
"Illinois","2020-12-25","932427","17155","0.049465537","0.058558583"
"Indiana","2020-12-25","491125","7770","0.07696235","0.06951141"
"Iowa","2020-12-25","274266","3744","0.036025524","0.08490288"
"Kansas","2020-12-25","213076","2507","0.046305895","0.07090986"
"Kentucky","2020-12-25","253824","2782","0.05608189","0.06264329"
"Louisiana","2020-12-25","296499","7272","0.049799204","0.03974831"
"Maine","2020-12-25","21547","319","0.17505586","0.13523138"
"Maryland","2020-12-25","263326","5659","0.06689191","0.056177735"
"Massachusetts","2020-12-25","341925","11963","0.08573127","0.030404806"
"Michigan","2020-12-25","507687","12406","0.03423643","0.045948863"
"Minnesota","2020-12-25","404462","5109","0.031927705","0.06838143"
"Mississippi","2020-12-25","204178","4562","0.07230151","0.04777217"
"Missouri","2020-12-25","400714","5633","0.04849279","0.089555144"
"Montana","2020-12-25","79066","918","0.039576054","0.073684216"
"Nebraska","2020-12-25","161960","1594","0.039778113","0.062666655"
"Nevada","2020-12-25","214077","2943","0.070213795","0.07881236"
"New Hampshire","2020-12-25","38902","690","0.112757444","0.0815047"
"New Jersey","2020-12-25","456847","18595","0.07459533","0.025987625"
